speaker,task,file,feature_set,feature_level,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
P_1984_F_22,con,/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_con.WAV,eGeMAPSv02,Functionals,30.840261,0.20612688,29.507471,32.28073,35.195034,5.687563,328.54782,467.71967,148.39348,279.60568,0.94349676,0.62818795,0.3721592,0.837769,1.4604223,1.088263,15.478842,9.331777,10.627799,5.8379683,0.63007915,0.85442954,20.917906,0.71709216,10.9932785,1.2823893,8.743474,1.4747896,0.29933897,46.063896,0.044684112,2.3783524,1.0999784,0.8930539,6.2630024,0.92594486,6.279966,2.848773,25.208292,0.65103656,611.3292,0.32417485,1268.533,0.16910107,-69.12509,-1.2352804,1656.7761,0.1595818,970.3906,0.41960695,-77.198105,-1.0039259,2743.6604,0.098278776,772.33716,0.5295521,-81.64613,-0.9110791,-17.79588,-0.48924315,28.10379,0.32604536,0.029850254,1.2223053,-0.023994626,-0.6393741,0.797471,0.67184186,28.325386,0.3612773,12.119655,1.2886049,9.474191,1.5266806,-2.3548384,-6.245897,-6.1482916,14.527103,-0.028468097,-0.004294128,0.24040133,3.707971,2.1381407,0.3187255,0.2882101,0.14179347,0.29632074,-23.748556
P_1984_F_22,m(f),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_m(f).WAV,eGeMAPSv02,Functionals,31.837244,0.16249014,30.975094,32.620117,34.096195,3.1211014,257.01776,427.11334,107.67029,145.14389,0.83623034,0.5946371,0.29792768,0.77598834,1.2927265,0.99479884,12.774337,8.75709,9.628949,5.5996475,0.4638429,0.896456,18.909828,0.8551151,12.5144,0.9957625,11.059961,1.1051271,-1.9603668,-6.577149,0.031804223,2.7068636,0.9584294,0.94118935,7.5542006,0.6975872,7.2548347,2.1124754,27.345379,0.58716977,622.89417,0.2811838,1268.6256,0.16471201,-78.75039,-1.1284144,1706.9567,0.14317466,936.1446,0.5103247,-86.63795,-0.9332562,2804.8423,0.104342215,763.56934,0.5059962,-90.65987,-0.85451955,-18.534143,-0.451445,27.047937,0.36363253,0.0344118,0.9233041,-0.031687815,-0.50171304,0.6104152,0.6864481,28.274258,0.37592793,14.240314,0.9667859,12.737159,1.0849909,-5.2062697,-2.6388102,-5.001591,12.402017,-0.023734918,-0.0073936777,0.18848215,3.6479442,1.8542663,0.34304687,0.36494777,0.20327272,0.6059811,-25.320765
P_1984_F_22,m(i),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_m(i).WAV,eGeMAPSv02,Functionals,31.966824,0.16219525,30.82801,32.9122,35.221653,4.3936424,288.17273,407.7514,156.07281,258.57724,0.85401493,0.66963017,0.24497555,0.7589409,1.3735383,1.1285627,12.690662,8.118087,9.247027,5.1554685,0.45974413,0.9548671,18.451504,0.86421716,9.572662,1.4626755,9.18092,1.2481548,-0.15800722,-79.20073,0.029075265,2.451704,0.9280004,0.92556226,7.625216,0.7048438,7.254499,2.3134785,25.173319,0.65119267,660.7593,0.2725191,1288.0352,0.18326475,-86.870705,-1.0411861,1718.3004,0.14581157,953.9181,0.46333584,-93.145355,-0.8941438,2816.516,0.10059546,755.96643,0.47366333,-97.26633,-0.8200851,-17.765223,-0.490561,27.106363,0.35495806,0.03302005,1.0723447,-0.02716968,-0.56834435,0.6498354,0.68334836,28.889256,0.3440824,10.478635,1.5834514,10.621315,1.2897203,-4.076287,-3.3137002,-6.219672,14.433819,-0.030313294,-0.005345986,0.15857695,3.1172755,1.6078055,0.37273505,0.3261865,0.26127452,0.5634656,-24.896715
P_1984_F_22,pic,/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_pic.WAV,eGeMAPSv02,Functionals,30.76673,0.17064464,29.782148,31.45397,33.91142,4.1292706,342.00198,459.124,91.02384,108.659996,0.84497076,0.5823547,0.37697774,0.7635404,1.2533234,0.8763457,12.710349,7.5618553,8.688259,5.1201825,0.47341785,0.861463,20.84619,0.73128057,12.661082,1.0526013,11.288595,1.0997503,-1.4511311,-8.912801,0.03492073,2.5925655,0.96555704,0.94829756,6.909592,0.7793296,7.9305124,1.9493848,26.907349,0.5670594,622.6479,0.2978761,1255.8713,0.17652069,-68.652,-1.2424071,1711.3903,0.14652947,922.8804,0.4996914,-77.975426,-0.99294937,2771.597,0.095274545,805.17706,0.47410756,-81.60353,-0.9162429,-18.88479,-0.44467774,27.521193,0.34916997,0.029310213,1.1029608,-0.032253265,-0.476983,0.5938855,0.69553226,28.646286,0.34626,14.12601,1.0278593,12.6858225,1.0759492,-3.5408537,-3.9085608,-5.363541,12.615756,-0.021048615,-0.00947481,0.19304089,3.4267914,1.9588928,0.3484091,0.30434936,0.16218339,0.29013255,-25.175325
P_1984_F_22,r(f),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_r(f).WAV,eGeMAPSv02,Functionals,32.765984,0.14945202,30.81564,33.04242,35.986153,5.170513,315.21832,624.8827,151.56818,372.73145,0.9659824,0.62978804,0.38558316,0.85058725,1.490277,1.1046939,17.333616,10.008953,12.54822,6.673744,0.7022618,0.84907544,18.969387,0.7787362,10.1256695,1.4032837,9.825289,1.2994747,-3.886302,-3.5989513,0.03499123,2.2432396,1.1904628,0.78541875,6.6131134,0.7295543,6.02747,2.6321576,23.858374,0.7007399,630.11926,0.29046473,1259.0797,0.17640935,-74.476944,-1.1517339,1706.4741,0.14040025,995.61395,0.54682076,-81.206894,-0.957815,2776.562,0.11725607,801.6141,0.6267154,-84.97872,-0.88262206,-16.887077,-0.4765633,25.737255,0.35493994,0.033309363,1.075127,-0.030225381,-0.49438423,0.911909,0.6411237,26.534925,0.38108465,10.011869,1.5580326,10.910362,1.312882,-7.674025,-1.8718426,-5.9489064,13.579276,-0.022317374,-0.010229057,0.25767764,4.448354,2.5147743,0.26195,0.22455446,0.1327907,0.28163,-23.980452
P_1984_F_22,r(i),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_r(i).WAV,eGeMAPSv02,Functionals,32.404793,0.19513623,30.47102,33.706577,36.664597,6.193577,310.15564,580.90985,168.3053,334.32364,1.057195,0.6614019,0.36964068,0.92496485,1.715649,1.3460083,20.239357,11.905661,14.270895,7.2948008,0.8405273,0.8843946,19.898024,0.759236,9.634457,1.3649228,9.805831,1.4257584,-4.924892,-3.07302,0.04601218,2.2289224,1.1894923,0.8068308,6.058645,0.95298785,5.8694906,3.0016472,23.623585,0.72296846,604.9664,0.29978827,1265.8196,0.17072482,-67.66251,-1.2524823,1683.4442,0.14345452,938.6028,0.5276619,-74.994255,-1.0174577,2753.8176,0.103930905,841.6487,0.59419847,-79.06723,-0.9295557,-16.991526,-0.4407144,25.994493,0.33176044,0.039428413,1.0511786,-0.031412125,-0.499662,1.0780828,0.690261,26.823698,0.40304443,9.357733,1.5240428,10.126763,1.5275533,-8.509932,-1.8367187,-6.0894203,13.531945,-0.023744311,-0.010446172,0.25957483,4.450758,2.322275,0.29789114,0.28683886,0.12889764,0.16598655,-22.372087
P_1984_F_22,str,/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_F_22/P_1984_F_22_str.WAV,eGeMAPSv02,Functionals,31.231646,0.15474781,30.198124,32.142555,34.028244,3.83012,295.79712,442.94693,129.0094,243.38678,0.8597046,0.5880447,0.3868331,0.76759905,1.2850951,0.898262,12.6292515,7.533402,9.081854,5.127,0.52866787,0.87666196,20.601969,0.7538013,13.132836,1.040121,11.142033,1.148278,-0.8245419,-15.791732,0.03448843,2.4378972,1.0124384,0.8943906,7.068789,0.7211106,7.947914,1.8660129,28.118486,0.5216094,599.4158,0.3093292,1284.4657,0.16500162,-71.3086,-1.2051634,1662.6847,0.15139176,997.75415,0.4694545,-80.49511,-0.96234655,2758.3367,0.097367495,765.39404,0.53525287,-84.67112,-0.87843066,-18.99813,-0.43972686,28.500574,0.32723987,0.032580793,1.0589979,-0.02681493,-0.5454208,0.6676976,0.7141508,28.706852,0.35057122,15.00566,0.97102135,12.410022,1.1561927,-3.5141084,-3.8896456,-5.8228803,13.3683815,-0.023170166,-0.00588798,0.21957974,3.6971328,2.1296086,0.31489247,0.26346886,0.15578616,0.37752643,-24.548523
P_1984_M_12,con,/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_M_12/P_1984_M_12_con.wav,eGeMAPSv02,Functionals,23.890158,0.20490153,21.218344,22.976776,27.496704,6.2783604,224.23213,321.4607,106.08587,225.65913,1.0733955,0.7429786,0.30217493,0.88193655,1.7557261,1.4535512,18.84815,11.886617,12.696652,8.753956,0.8150858,1.00999,23.705921,0.7306584,14.110523,0.8472602,12.442084,1.0333582,0.5357825,26.05429,0.034435645,2.139805,1.2117834,0.8607916,3.828285,1.135915,6.2326007,1.6913987,29.360378,0.3684242,500.3786,0.32523063,1239.2369,0.17518972,-69.690445,-1.2573477,1534.9264,0.18170112,992.0712,0.38197452,-79.7659,-1.0033007,2590.3538,0.12006964,907.7851,0.45699668,-84.42804,-0.90673745,-20.41256,-0.37450188,29.813389,0.2691112,0.0059405216,5.846762,-0.032559305,-0.47019798,1.1045648,0.7541321,32.99774,0.35142004,16.356512,0.78107274,15.076279,0.90483904,-2.2425487,-6.799978,-6.9281416,16.023474,-0.03416988,-0.0047886367,0.18217103,2.742053,1.480942,0.45437154,0.44103503,0.22417177,0.33675617,-20.19886
P_1984_M_12,m(f),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_M_12/P_1984_M_12_m(f).wav,eGeMAPSv02,Functionals,22.922846,0.16528857,21.428986,22.825796,24.648922,3.2199364,196.8195,264.73376,127.02433,420.04434,1.0763069,0.68624985,0.3609338,0.9351595,1.6913824,1.3304486,15.528821,8.661137,11.581049,7.322869,0.8196312,0.91334057,23.598158,0.7442551,14.451553,0.8312018,15.219597,0.8598722,0.5388244,24.198315,0.034992702,2.1806588,1.2212882,0.8712348,3.4370997,1.1697136,5.070755,1.6894314,29.678127,0.35710022,526.99054,0.29988652,1244.7797,0.17704158,-71.4609,-1.2167604,1597.7943,0.1781945,998.0945,0.40636608,-82.11505,-0.9607169,2611.5205,0.1305703,925.2565,0.43116045,-85.576866,-0.89334184,-21.299147,-0.3547589,28.881388,0.27023324,0.0024795108,11.642946,-0.03842758,-0.41256186,1.0920904,0.67722225,33.26769,0.34117323,16.921478,0.7463555,18.146448,0.7440387,-1.8387421,-7.734597,-6.5034294,14.570128,-0.02848899,-0.008070558,0.2454316,3.1727786,1.8288476,0.36220127,0.2883299,0.18418439,0.25298825,-20.135098
P_1984_M_12,m(i),/Users/neda/Documents/Corpus/Pertsch/persian/P_1984_M_12/P_1984_M_12_m(i).wav,eGeMAPSv02,Functionals,24.101156,0.1955401,21.718142,23.434769,27.074772,5.3566303,178.46568,297.96426,71.74208,118.47239,1.2333219,0.7132421,0.36539766,1.0792089,2.018615,1.6532173,18.294783,10.746261,12.924194,7.215433,0.93630964,0.9149728,24.705952,0.71892416,12.420511,1.0457575,15.045793,0.93533677,-1.1670078,-12.6918545,0.03136809,1.8272995,1.2054741,0.90125823,3.7606642,1.1740038,4.00256,2.4126356,27.265985,0.39279872,502.80066,0.32840344,1208.3425,0.18533614,-63.288013,-1.3389832,1565.4801,0.18590577,933.02625,0.38525885,-73.335815,-1.0598451,2594.1514,0.12502314,943.86957,0.4719798,-77.75579,-0.9620457,-19.55197,-0.42236343,27.791504,0.29901266,0.013490389,2.4611325,-0.035850707,-0.4197444,1.2095435,0.6924858,33.20589,0.3727144,13.659153,1.0286847,17.56403,0.8420693,-4.01357,-3.9299867,-6.8748302,15.214542,-0.031058524,-0.0074374974,0.24456447,2.944966,1.6028004,0.43885058,0.3496876,0.18050632,0.23383376,-19.318287
