file,speaker,task
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_mf.WAV,G_1991_M_26,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_mi.WAV,G_1991_M_26,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_rf.WAV,G_1991_M_26,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_ri.WAV,G_1991_M_26,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_sc.WAV,G_1991_M_26,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_sp.WAV,G_1991_M_26,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_st.WAV,G_1991_M_26,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_mf.WAV,G_1992_F_13,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_mi.WAV,G_1992_F_13,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_rf.WAV,G_1992_F_13,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_ri.WAV,G_1992_F_13,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_sc.WAV,G_1992_F_13,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_sp.WAV,G_1992_F_13,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_st.WAV,G_1992_F_13,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_mf.WAV,G_1996_F_19,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_mi.WAV,G_1996_F_19,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_rf.WAV,G_1996_F_19,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_ri.WAV,G_1996_F_19,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_sc.WAV,G_1996_F_19,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_sp.WAV,G_1996_F_19,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_st.WAV,G_1996_F_19,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_mf.WAV,G_1996_M_22,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_mi.WAV,G_1996_M_22,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_rf.WAV,G_1996_M_22,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_ri.WAV,G_1996_M_22,r(i)
