file,speaker,task
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_mf_16kHz.wav,G_1991_M_26,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_mi_16kHz.wav,G_1991_M_26,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_rf_16kHz.wav,G_1991_M_26,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_ri_16kHz.wav,G_1991_M_26,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_sc_16kHz.wav,G_1991_M_26,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_sp_16kHz.wav,G_1991_M_26,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1991_M_26/G_1991_M_26_st_16kHz.wav,G_1991_M_26,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_mf_16kHz.wav,G_1992_F_13,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_mi_16kHz.wav,G_1992_F_13,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_rf_16kHz.wav,G_1992_F_13,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_ri_16kHz.wav,G_1992_F_13,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_sc_16kHz.wav,G_1992_F_13,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_sp_16kHz.wav,G_1992_F_13,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1992_F_13/G_1992_F_13_st_16kHz.wav,G_1992_F_13,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_mf_16kHz.wav,G_1996_F_19,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_mi_16kHz.wav,G_1996_F_19,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_rf_16kHz.wav,G_1996_F_19,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_ri_16kHz.wav,G_1996_F_19,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_sc_16kHz.wav,G_1996_F_19,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_sp_16kHz.wav,G_1996_F_19,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_F_19/G_1996_F_19_st_16kHz.wav,G_1996_F_19,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_mf_16kHz.wav,G_1996_M_22,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_mi_16kHz.wav,G_1996_M_22,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_rf_16kHz.wav,G_1996_M_22,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_ri_16kHz.wav,G_1996_M_22,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_sc_16kHz.wav,G_1996_M_22,con
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_sp_16kHz.wav,G_1996_M_22,pic
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1996_M_22/G_1996_M_22_st_16kHz.wav,G_1996_M_22,str
/data/fburkhardt/papers/ICPHS-2027/data/german/G_1997_M_17/G_1997_M_17_mf_16kHz.wav,G_1997_M_17,m(f)
