file,speaker,task
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_con_16kHz.wav,P_1984_F_22,con
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_m(f)_16kHz.wav,P_1984_F_22,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_m(i)_16kHz.wav,P_1984_F_22,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_pic_16kHz.wav,P_1984_F_22,pic
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_r(f)_16kHz.wav,P_1984_F_22,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_r(i)_16kHz.wav,P_1984_F_22,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_str_16kHz.wav,P_1984_F_22,str
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_con_16kHz.wav,P_1984_M_12,con
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_m(f)_16kHz.wav,P_1984_M_12,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_m(i)_16kHz.wav,P_1984_M_12,m(i)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_pic_16kHz.wav,P_1984_M_12,pic
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_r(f)_16kHz.wav,P_1984_M_12,r(f)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_r(i)_16kHz.wav,P_1984_M_12,r(i)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_str_16kHz.wav,P_1984_M_12,str
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1985_F_13/P_1985_F_13_con_16kHz.wav,P_1985_F_13,con
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1985_F_13/P_1985_F_13_m(f)_16kHz.wav,P_1985_F_13,m(f)
/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1985_F_13/P_1985_F_13_m(i)_16kHz.wav,P_1985_F_13,m(i)
