File_Name,file,Speaker,Task,Language,Year_of_Birth,Age,Gender,ID,percent_V,deltaV,deltaC,nPVI_v,rPVI_c,V:C_ratio,varco_c,cv_rate,v_rate,c_rate,mean_c,mean_v,std_f0_peak,std_f0_mean,nPVI_f0_mean,rPVI_f0_mean,nPVI_f0_peak,rPVI_f0_peak,varcoM_f0,varcoP_f0,std_int_peak,std_int_mean,nPVI_int_mean,rPVI_int_mean,nPVI_int_peak,rPVI_int_peak,varcoM_int,varcoP_int
P_1984_F_22_mf.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_m(f).WAV,P22,m(f),Persian,1984,40,Female,P_1984_F_22,34.91146719,0.065862906,0.053216311,50.1569601,0.062987903,0.814287364,51.00212234,7.986930477,3.877951781,4.108978696,0.104341365,0.090025532,3.990534455,2.994676176,2.330350279,2.060148669,2.817624338,2.648548141,3.330818323,4.331199383,3.252073275,3.273839034,3.616496982,2.477725006,3.122346366,2.248257386,4.740672064,4.500870711
P_1984_F_22_mi.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_m(i).WAV,P22,m(i),Persian,1984,40,Female,P_1984_F_22,41.64779162,0.091661581,0.05188594,54.06292143,0.05538009,1.005854951,49.22722628,7.697480180999999,3.769110985,3.928369196,0.105400901,0.110497653,3.714210624,2.780096246,2.201257814,1.974600968,2.581619547,2.432973411,3.072453621,4.020044347,3.714772332,3.848120831,4.18572481,2.87493817,3.217597559,2.311940772,5.531084454,5.117501001
P_1984_F_22_rf.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_r(f).WAV,P22,r(f),Persian,1984,40,Female,P_1984_F_22,35.85348737,0.031060353,0.045780236,43.40992162,0.050628297,0.704257462,50.729385,10.918268192,5.276938026,5.641330166,0.090244019,0.067943734,4.070705432,3.319978704,2.596603366,2.370299792,3.00177965,2.841607226,3.647513317,4.377586219,3.228572046,3.494775654,4.532858944,3.137795772,3.498563944,2.569650241,4.997392157,4.392098139
P_1984_F_22_ri.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_r(i).WAV,P22,r(i),Persian,1984,40,Female,P_1984_F_22,38.04657874,0.037567429,0.042571127,37.45555915,0.046554517,0.82176639,49.67891404,10.335917313,4.933051445,5.402865868,0.085692547,0.07712585,4.215399567,3.622267845,3.072225428,2.788326782,3.333935149,3.125470484,3.963286821,4.517738902,4.368130782,4.437187887,5.06360405,3.541302794,4.451029339,3.275941952,6.235603959,5.839005172
P_1984_F_22_sc.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_con.WAV,P22,con,Persian,1984,40,Female,P_1984_F_22,35.49298595,0.062758245,0.045874733,46.23923012,0.046402062,0.860320884,48.11991671,8.454684006,4.127220745,4.327463261,0.09533419,0.085997305,4.247941626,3.77155788,3.216782196,2.870866185,3.039508776,2.817794528,4.193059183,4.619761579,4.30776232,4.239625054,4.387420536,3.031324894,3.739540083,2.703944945,6.07520065,5.890475034
P_1984_F_22_sp.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_pic.WAV,P22,pic,Persian,1984,40,Female,P_1984_F_22,37.4313444,0.071220713,0.057635451,45.44180591,0.060386905,0.965429813,58.56789801,7.614530021,3.674634877,3.939895144,0.098407921,0.101864119,4.443996477,3.52357966,2.833044809,2.48492381,3.130280473,2.934696641,3.963989993,4.866706683,2.675337726,3.017404479,3.755650727,2.557440558,2.907343867,2.088296592,4.402097387,3.7284815
P_1984_F_22_st.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_F_22/P_1984_F_22_str.WAV,P22,str,Persian,1984,40,Female,P_1984_F_22,38.17201716,0.05862107,0.052496086,45.89729349,0.052706629,0.911961063,53.51283,8.311198182999998,4.044422543,4.26677564,0.0981,0.094381872,3.523876891,2.98641005,2.254713199,1.983683193,2.376779746,2.18873417,3.34210464,3.860003775,3.24728022,3.3866921,3.865876903,2.665215548,3.191437137,2.320511007,4.900550879,4.487061738
P_1984_M_12_mf.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_m(f).wav,P12,m(f),Persian,1984,40,Male,P_1984_M_12,29.11786194,0.063477118,0.068629539,50.91234946,0.070407713,0.699940515,70.76212247,8.260469939,3.971153166,4.289316773,0.096986264,0.073323442,2.153348185,1.871305845,1.403379679,1.136434072,1.717650836,1.414075499,2.31897302,2.624910977,3.450322536,3.844625975,4.662254064,3.401117112,3.007845435,2.291058009,5.197188481,4.482844735
P_1984_M_12_mi.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_m(i).wav,P12,m(i),Persian,1984,40,Male,P_1984_M_12,35.4261796,0.089760683,0.061928899,59.94897491,0.062044643,0.878757846,65.76054721,8.333333333999999,4.052511416,4.280821918,0.094173333,0.08741784,2.617732827,2.379278269,2.077548678,1.694206569,2.381393073,1.975450958,2.924305974,3.162392178,3.464028063,3.621261664,4.674561986,3.455373482,3.374697332,2.609245371,4.855790782,4.462426844
P_1984_M_12_rf.Table,/data/fburkhardt/papers/ICPHS-2027/data/persian/P_1984_M_12/P_1984_M_12_r(f).wav,P12,r(f),Persian,1984,40,Male,P_1984_M_12,34.53367124,0.028775925,0.052221623,45.01537716,0.062022779,0.668644109,56.09470779,10.855997276,5.308217019,5.547780257,0.093095455,0.065057007,6.431457775,4.462076525,3.506763667,3.007348436,4.384915771,3.932224538,5.433677555,7.623212032,3.534989265,4.03607993,5.218822363,3.81457193,3.461585834,2.659318244,5.463183616,4.55929196
